Identifier,industry_raw,sector
MTLN.L,conglomerate,Other
ADSGn.DE,textile industry,Other
ROGS.OL,financial services,Financials
O4BG.DE,Q1416641,Other
DWNG.DE,real estate industry,Real Estate
MEDA.S,wholesale (inter-company trade) of pharmaceutical products,Health Care
VBKG.DE,chemical industry,Materials
EATP.WA,restaurant,Consumer Discretionary
MONTE.BR,real estate industry,Real Estate
NOD.OL,semiconductor industry,Information Technology
TEL2b.ST,telecommunications,Communication
DAST.PA,publishing of application software,Information Technology
RING.OL,financial services,Financials
GMMG.DE,automotive supplier,Consumer Discretionary
UNIQ.VI,insurance industry,Financials
LENV.VI,chemical industry,Materials
SMPV.VI,industrial manufacturing,Industrials
WBSV.VI,construction materials industry,Materials
UMI.BR,mining,Materials
GBLB.BR,holding company,Financials
TESB.BR,chemical industry,Materials
BEIG.DE,manufacture of perfumes and toilet preparations,Energy
BIOG.H,pharmaceutical company,Health Care
MBGn.DE,automotive industry,Consumer Discretionary
DRWG.DE,engineering,Industrials
FREG.DE,pharmaceutical industry,Health Care
INPP.L,financial services,Financials
RHMG.DE,weapons industry,Industrials
TEGG.DE,real estate industry,Real Estate
ZILGn.DE,automotive industry,Consumer Discretionary
BKT.MC,economics of banking,Financials
NTGY.MC,public utility,Utilities
CAF.MC,construction of locomotives and other railway rolling stock,Industrials
ENOR.MC,aerospace industry,Industrials
INRN.S,industrial parts manufacturer,Industrials
PSG.MC,Cash-in-transit,Other
ACCP.PA,hospitality industry,Health Care
SAF.PA,defense industry,Industrials
BICP.PA,wholesale trade (business-to-business) of other household goods,Consumer Staples
DANO.PA,food and tobacco industry,Consumer Staples
NIBEb.ST,energy industry,Other
KINVb.ST,investment,Financials
CAPP.PA,IT service management,Other
VIV.PA,activities of head offices,Other
SOGN.PA,"financial service activities, except insurance and pension funding",Financials
LEGD.PA,Q112165405,Other
GNFT.PA,research and development in biotechnology,Health Care
TEPRF.PA,advertising agency activities,Other
SCHN.PA,electrical industry,Utilities
AXFO.ST,retail,Consumer Discretionary
TTEF.PA,petroleum industry,Energy
ABF.L,food processing,Consumer Staples
TTRGn.DE,industrial parts manufacturer,Industrials
BP.L,petroleum industry,Energy
CNE.L,petroleum industry,Energy
EDIN.L,investment trust,Financials
ELCO.L,information technology,Information Technology
FCIT.L,investment management,Financials
GRI.L,house-building,Other
MTO.L,facility management,Other
IMI.L,mechanical engineering,Industrials
JSG.L,renting,Other
MRCH.L,service,Other
MUT.L,"financial service activities, except insurance and pension funding",Financials
PAGE.L,employment services industry,Other
VOD.L,telecommunications,Communication
RSW.L,engineering,Industrials
SGE.L,software industry,Information Technology
SBRY.L,retail,Consumer Discretionary
SNR.L,industrial manufacturing,Industrials
AML.L,automotive industry,Consumer Discretionary
TRY.L,financial services,Financials
WEIR.L,mechanical engineering,Industrials
BCVN.S,"financial service activities, except insurance and pension funding",Financials
FORN.S,plastics and rubber industry,Materials
ISN.S,real estate company,Real Estate
LLBN.S,"financial service activities, except insurance and pension funding",Financials
SLHN.S,financial services,Financials
UHR.S,clock,Other
VPBN.S,bank,Financials
AEIGn.DE,information technology,Information Technology
TRIA.PA,activities of head offices,Other
UTDI.DE,telecommunications,Communication
FXPO.L,mining of metal ores,Materials
GEST.MC,automotive industry,Consumer Discretionary
FLUI.MC,sporting goods industry,Other
BRGB.OL,chemical industry,Materials
PTNL.AS,logistics,Industrials
ALCRB.PA,research and development in biotechnology,Health Care
EMG.L,financial services,Financials
BARN.S,"manufacture of cocoa, chocolate and confectionery products",Industrials
CRADb.ST,publishing of application software,Information Technology
AUBT.PA,IT systems and software consulting,Information Technology
HNSA.ST,wholesale (inter-company trade) of pharmaceutical products,Health Care
AURG.OL,financial services,Financials
KIT.OL,electronics,Information Technology
AKRBP.OL,petroleum industry,Energy
EVTG.DE,biotechnology,Health Care
OPL.WA,telecommunications,Communication
